"Tesco British Semi Skimmed Milk 2.272L, 4 Pints",£1.00,(£0.44/l)
"Tesco British Whole Milk 2.272L, 4 Pints",£1.00,(£0.44/l)
"Tesco British Semi Skimmed Milk 1.136L, 2 Pints",£0.75,(£0.66/l)
"Tesco British Skimmed Milk 2.272L, 4 Pints",£1.00,(£0.44/l)
"Tesco British Semi Skimmed Milk 3.408L, 6 Pints",£1.48,(£0.43/l)
"Tesco British Skimmed Milk 1.136L, 2 Pints",£0.75,(£0.66/l)
"Tesco British Whole Milk 3.408L, 6 Pints",£1.48,(£0.43/l)
"Tesco British Whole Milk 1.136L, 2 Pints",£0.75,(£0.66/l)
Cravendale Semi Skimmed Milk 2 LitreAny 2 for £3.00Offer valid for delivery from 6/9/2017 until 26/9/2017,£1.75,(£0.88/l)
"Tesco British Semi Skimmed Milk 568 Ml, 1 Pint",£0.45,(£0.79/l)
Tesco Pure Filter Semi Skimmed Milk 2 Litre,£1.30,(£0.65/l)
Tesco Organic British Semi Skimmed Milk 2.272L/...Any 2 for £3.00Offer valid for delivery from 6/9/2017 until 26/9/2017,£1.84,(£0.81/l)
Tesco British 1% Milk 2.272L/4 Pints,£1.00,(£0.44/l)
Cravendale Filtered Whole Milk 2 LitreAny 2 for £3.00Offer valid for delivery from 6/9/2017 until 26/9/2017,£1.75,(£0.88/l)
"Tesco British Whole Milk 568Ml, 1 PintDiscover our Food Love…",£0.45,(£0.79/l)
"Tesco British Skimmed Milk 568Ml, 1 Pint",£0.45,(£0.79/l)
Arla Best Of Both Skimmed Milk 2 LitreSave 50p Was £1.50 Now £1.00Offer valid for delivery from 6/9/2017 until 26/9/2017,£1.00,(£0.50/l)
Tesco Organic British Whole Milk 2.272L/4 PintsAny 2 for £3.00Offer valid for delivery from 6/9/2017 until 26/9/2017,£1.84,(£0.81/l)
Tesco Everyday Value British Skimmed Longlife U...,£0.49,(£0.49/l)
Tesco Pure Filter Skimmed Milk 2 Litre,£1.30,(£0.65/l)
Lactofree Longlife Semi Skimmed Milk Portions 5...,£0.69,(£6.90/l)
Delamere Sterilisation Whole Milk 1 Litre,£1.10,(£1.10/l)
Carnation Evaporated Milk 170G,£0.70,(£4.12/kg)
Tesco Finest Channel Island Milk 1L,£1.00,(£1.00/l)
Marvel Dried Milk 340G Tin,£3.70,(£10.89/kg)
Alpro Soya Strawberry Longlife Milk Alternative...,£1.30,(£1.74/l)
Flora Pro-Activ Skimmed Milk 1 Litre,£1.40,(£1.40/l)
Tesco Low Fat Evaporated Semi Skimmed Milk 410G,£0.60,(£1.47/kg)
Tesco Free From Almond Unsweetened Fresh Milk A...,£1.50,(£1.50/l)
Alpro Oat Longlife Milk Alternative 1 Litre,£1.40,(£1.40/l)
Tesco Evaporated Milk 170G,£0.45,(£2.65/kg)
Tesco Free From Soya Sweet Fresh Milk Alternati...,£1.10,(£0.11/100ml)
